Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Brunei Darussalam,BRN,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,31453.2244,41787.0214,41807.65334,39151.23423,40979.64194
Bulgaria,BGR,1609.280586,1762.455968,2079.228975,2693.75876,3353.564149,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6752.552178,7750.03988,7333.355073,7656.638506,7851.265428
Burkina Faso,BFA,226.8016078,235.5079325,260.808434,332.4237687,371.3951961,406.9988374,422.479938,474.7109451,569.0142638,551.8432409,574.4580893,665.8074467,673.0267834,708.8416819,713.0638897
Burundi,BDI,128.6355365,126.2170813,115.2798803,106.0169747,119.460135,140.8151356,154.9245257,159.2654713,182.6878013,190.3942037,214.2309908,240.6144835,244.1964862,259.3652082,286.0023359
Cambodia,KHM,299.5622376,319.6924597,337.8042535,361.0703476,407.0849062,472.4488559,537.8485827,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441,946.4766787,1024.60887,1094.576688
Cameroon,CMR,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413
Canada,CAN,24031.9512,23573.75007,23995.01633,28026.00601,31830.01187,36028.23249,40243.55228,44328.47538,46400.44185,40764.14135,47463.63119,52086.53352,52737.77716,52309.43175,50230.80769
Cabo Verde,CPV,1229.043944,1258.556939,1363.59302,1759.256354,1970.891406,2049.615693,2316.47949,3145.653828,3698.315397,3517.386791,3393.927492,3766.111654,3497.691141,3623.22243,3641.107656
Cayman Islands,CYM,..,..,..,..,..,..,64104.7516,..,..,..,..,..,..,..,..
Central African Republic,CAF,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,484.5832181,469.6842871,326.4371085,358.5378359
Chad,TCD,166.0080155,197.3022751,220.7953519,292.5815828,454.6552834,660.1815568,712.0468098,801.4016004,929.2796449,803.9143523,895.8779959,988.4431598,972.6793451,985.0952473,1024.668452
Channel Islands,CHI,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,..,..,..,..,..,..,..
Chile,CHL,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15741.71166,14528.32581
China,CHN,954.5522917,1047.477863,1141.757644,1280.602855,1498.173796,1740.096726,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7590.016441
Colombia,COL,2472.197776,2395.856522,2355.725753,2246.257648,2740.249866,3386.025478,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8027.97816,7903.925773
Comoros,COM,372.1890023,391.957281,428.789839,538.697658,609.640698,614.8613273,640.7429838,712.1200098,777.6777744,754.9928244,739.8977906,790.5680956,750.3146086,796.7645736,810.0757668
